
complaint_id,date,division,district,channel,sector,accused_type,amount,complaint_text,risk_label
C-1001,2024-01-24,Khulna,Kushtia,Hotline 106,Police,Inspector,100000,Assets of Inspector increased abnormally in last 2 years.,Medium
C-1002,2023-11-14,Khulna,Satkhira,Hotline 106,Recruitment,Chairman,200000,Illegal transaction of 200000 taka caught on tape by Chairman.,High
C-1003,2023-05-01,Rangpur,Rangpur,Written Application,Banking,Loan Officer,100000,Loan Officer hired his own relative for the post of mortgage release.,Medium
C-1004,2023-08-14,Rajshahi,Bogura,Email,Education,Teacher,20000,"Sir, the Teacher demanded 20000 taka for admission.",Low
C-1005,2023-07-01,Khulna,Bagerhat,Written Application,Recruitment,Headmaster,500000,Headmaster took money but did not give the service.,Medium
C-1006,2023-10-01,Rangpur,Gaibandha,Online Form,Municipality,Engineer,20000,Refusing to do work without extra payment of 20000.,Low
C-1007,2023-03-16,Mymensingh,Mymensingh,Hotline 106,Police,OC,200000,Bill passed for passport verification but no work done by OC.,Medium
C-1008,2024-01-20,Khulna,Satkhira,Written Application,Health,Store Keeper,1000000,Illegal transaction of 1000000 taka caught on tape by Store Keeper.,Medium
C-1009,2024-02-01,Dhaka,Dhaka,Written Application,Banking,Loan Officer,50000,Used low quality materials in SME loan construction.,Low
C-1010,2023-09-23,Rajshahi,Bogura,Email,Tender/Procurement,Project Director,400000,Project Director hired his own relative for the post of bridge repair.,Medium
C-1011,2023-09-27,Khulna,Jashore,Online Form,Municipality,Mayor,1000000,Used low quality materials in birth registration construction.,Medium
C-1012,2023-12-09,Sylhet,Moulvibazar,Written Application,Land,Surveyor,5000000,Surveyor hired his own relative for the post of namjari.,High
C-1013,2023-03-16,Chattogram,Cox's Bazar,Hotline 106,Land,Land Officer,50000,Land Officer hired his own relative for the post of namjari.,Low
C-1014,2023-11-06,Khulna,Khulna,Written Application,Health,Nurse,20000,Government fund for surgery misappropriated by Nurse.,Low
C-1015,2024-02-28,Mymensingh,Sherpur,Online Form,Health,Doctor,1000000,Assets of Doctor increased abnormally in last 2 years.,Medium
C-1016,2023-01-06,Mymensingh,Jamalpur,Online Form,Education,Clerk,10000,Assets of Clerk increased abnormally in last 2 years.,Low
C-1017,2023-07-10,Sylhet,Moulvibazar,Online Form,Municipality,Councilor,10000,Councilor hired his own relative for the post of holding tax.,Low
C-1018,2023-12-07,Chattogram,Chandpur,Written Application,Health,Doctor,100000,Government fund for surgery misappropriated by Doctor.,Medium
C-1019,2024-03-13,Rangpur,Kurigram,Online Form,Banking,Loan Officer,20000,Illegal transaction of 20000 taka caught on tape by Loan Officer.,Low
C-1020,2023-04-07,Barishal,Barishal,Hotline 106,Tender/Procurement,Contractor,500000,Contractor hired his own relative for the post of supply of computers.,Medium
C-1021,2024-02-25,Sylhet,Moulvibazar,Email,Recruitment,Ministry Official,100000,Used low quality materials in primary teacher job construction.,Medium
C-1022,2023-10-02,Barishal,Barishal,Written Application,Police,Constable,100000,Assets of Constable increased abnormally in last 2 years.,Medium
C-1023,2023-07-18,Dhaka,Manikganj,Written Application,Health,Doctor,500000,"Sir, the Doctor demanded 500000 taka for medicine supply.",Medium
C-1024,2024-02-29,Sylhet,Sunamganj,Online Form,Recruitment,Chairman,50000,Used low quality materials in office assistant job construction.,High
C-1025,2023-03-03,Rajshahi,Pabna,Email,Municipality,Councilor,200000,Councilor asks for speed money to move the file.,Medium
C-1026,2023-02-16,Chattogram,Noakhali,Written Application,Police,OC,5000000,Refusing to do work without extra payment of 5000000.,High
C-1027,2023-02-15,Sylhet,Moulvibazar,Email,Health,Ward Boy,20000,Ward Boy took money but did not give the service.,Low
C-1028,2023-03-09,Barishal,Pirojpur,Hotline 106,Municipality,Mayor,500000,Bill passed for birth registration but no work done by Mayor.,Medium
C-1029,2023-02-26,Barishal,Pirojpur,Email,Municipality,Councilor,5000,Councilor asks for speed money to move the file.,Low
C-1030,2023-11-04,Khulna,Bagerhat,Email,Education,Teacher,100000,Teacher hired his own relative for the post of admission.,Medium
C-1031,2023-06-19,Barishal,Barishal,Email,Land,Sub-Registrar,50000,Bill passed for namjari but no work done by Sub-Registrar.,Low
C-1032,2023-12-10,Rangpur,Dinajpur,Email,Education,Teacher,50000,Teacher asks for speed money to move the file.,Low
C-1033,2023-12-19,Dhaka,Manikganj,Online Form,Police,OC,1000000,"Sir, the OC demanded 1000000 taka for case filing.",Medium
