sample_id,doc_type,issuing_entity,date_raw,primary_amount_bdt,red_flag,raw_text
E-0001,GOVERNMENT OF THE PEOPLE'S REPUBLIC OF BANGLADESH,Local Government Engineering Department (LGED),12 Oct 2023,865000,"Total amount overwritten manually and does not match the sum of items (565,000 BDT).","GOVERNMENT OF THE PEOPLE'S REPUBLIC OF BANGLADESH
Local Government Engineering Department (LGED)
District: Dhaka
---------------------------------------------------
BILL NO: LGED/DK/2023/504
DATE: 12 Oct 2023
PROJECT: Rural Road Maintenance (Road ID: 4502)
CONTRACTOR: M/S Bhuiyan Constructions
ENGINEER: Md. Rafiqul Islam
DESCRIPTION OF WORK:
1. Earth filling: 5000 cft @ 45 BDT = 225,000 BDT
2. Brick Soling: 2000 sqft @ 80 BDT = 160,000 BDT
3. Bituminous Carpeting: 1500 sqft @ 120 BDT = 180,000 BDT
TOTAL: 665,000 BDT (Handwritten correction: 865,000 BDT)
PASSED FOR PAYMENT: 865,000 BDT
SIGNATURE: [Illegible Scrawl]"
E-0002,INVOICE,Vendor: Star Tech Solutions,05/11/2023,2045000,Unit prices are inflated approx 2-3x higher than local market rate.,"INVOICE
Vendor: Star Tech Solutions
Date: 05/11/2023
To: Project Director, ICT Division Project
Items:
1. Dell Laptops (Core i5) - Qty 10 - Unit Price: 150,000 BDT - Total: 1,500,000 BDT
2. HP Laser Printer - Qty 5 - Unit Price: 85,000 BDT - Total: 425,000 BDT
3. UPS 650VA - Qty 10 - Unit Price: 12,000 BDT - Total: 120,000 BDT
Grand Total: 2,045,000 BDT"
E-0003,PAYMENT VOUCHER,Ministry of Health & Family Welfare,22/09/2023,5000000,"Amount in words 'Five Crore' (50,000,000) does not match figure '5,000,000' (50 Lakh).","PAYMENT VOUCHER
Ministry of Health & Family Welfare
Date: 22/09/2023
Voucher No: MH/DEV/299
Pay to: Global Medico Ltd.
Amount: 5,000,000 BDT (Five Crore Taka Only)
Purpose: Supply of ICU Ventilators
Note: Advance payment processed without delivery challan.
Approval: Director General (Signed)"
E-0004,WORK COMPLETION CERTIFICATE,Department of Public Health Engineering (DPHE),30 Feb 2023,,Date '30 Feb 2023' is an impossible date.,"WORK COMPLETION CERTIFICATE
Department of Public Health Engineering (DPHE)
District: Barishal
Contract Name: Installation of 50 Deep Tube Wells
Contractor: Hasan Traders
Date of Completion: 30 Feb 2023
This is to certify that the work has been completed satisfactorily.
Signed:
Executive Engineer"
E-0005,SUPPLY CHALLAN,Received From: Master Builders,15-08-2023,,Goods received on a national holiday when government offices are typically closed.,"SUPPLY CHALLAN
Challan No: 0045
Date: 15-08-2023 (National Mourning Day Holiday)
Received From: Master Builders
Material:
- Cement: 500 Bags
- Sand: 1000 cft
Received By: Store Keeper, PWD"
E-0006,MUSTER ROLL (LABOR PAYMENT),1. Rahim Mia - Thumb Impression,01 Nov - 07 Nov 2023,,All thumb impressions appear to be identical (cloned smudge patterns).,"MUSTER ROLL (LABOR PAYMENT)
Project: Canal Re-excavation, Noakhali
Period: 01 Nov - 07 Nov 2023
1. Rahim Mia - Thumb Impression
2. Karim Ullah - Thumb Impression
3. Salam Sheikh - Thumb Impression
4. Jamal Uddin - Thumb Impression
...
[List of 50 laborers]"
E-0007,TENDER EVALUATION REPORT,Procuring Entity: City Corporation,10 Dec 2023,,Lowest bidder (Gamma) disqualified on flimsy grounds to favor Alpha.,"TENDER EVALUATION REPORT
Procuring Entity: City Corporation
Tender ID: 55021
Date: 10 Dec 2023
Bidders:
1. M/S Alpha Construction - Price: 1.20 Crore
2. M/S Beta Builders - Price: 1.25 Crore
3. M/S Gamma Tech - Price: 1.15 Crore
Evaluation: Gamma Tech disqualified for missing trade license. Beta Builders disqualified for spelling error in form.
Recommended for Award: M/S Alpha Construction (Bid Price 1.20 Crore)"
E-0008,PETTY CASH VOUCHER,Department: Land Record Office,18-10-2023,40000,Exorbitant amount for 'Refreshment' and 'Chair Repair' via petty cash to extract funds.,"PETTY CASH VOUCHER
Date: 18-10-2023
Department: Land Record Office
Description:
- Refreshment for Guest: 15,000 BDT
- Stationery: 5,000 BDT
- Repair of Chair: 20,000 BDT
Total: 40,000 BDT
Approved By: AC Land"
E-0009,INVOICE,Vendor: National Furnitures,01/12/2023,500000,Same invoice number '1122' was submitted for a different claim in November 2023.,"INVOICE
Vendor: National Furnitures
Date: 01/12/2023
Invoice No: 1122
Item: Decorative Wooden Chair
Qty: 10
Rate: 50,000 BDT
Total: 500,000 BDT"
E-0010,BANK STATEMENT EXTRACT,"Account: Project Fund Account, Sonali Bank",,,Large cash withdrawal (20 Lakh) from project fund account is suspicious.,"BANK STATEMENT EXTRACT
Account: Project Fund Account, Sonali Bank
Period: Dec 2023
Date       Particulars          Debit       Credit
10-12-23   Trf to Contractor    50,00,000
10-12-23   Cash Withdrawal      20,00,000   (Self)
12-12-23   Trf to Contractor    30,00,000"
