
tender_id,procuring_entity,supplier,method,estimated_value,contract_value,bidders_count,district,sector,award_date,fraud_flag
T-2001,City Corp,Khan Builders,OTM,23700000,21460527,7,Cox's Bazar,Hospital Maintenance,2023-01-06,0
T-2002,LGED,Green Delta,RFQ,20900000,18482325,6,Feni,Hospital Maintenance,2023-08-25,0
T-2003,Health Eng,M/S Salam Ent,OTM,13100000,11531971,5,Faridpur,ICT Equipment,2023-09-24,0
T-2004,City Corp,Khan Builders,LTM,3800000,3532219,4,Faridpur,ICT Equipment,2023-04-12,0
T-2005,Edu Eng,Khan Builders,OTM,24800000,21772991,5,Manikganj,Bridge,2023-03-04,0
T-2006,WASA,Orion Tech,LTM,17700000,16111511,6,Feni,Hospital Maintenance,2023-03-13,0
T-2007,WASA,Orion Tech,Direct,48700000,59344495,6,Dhaka,Hospital Maintenance,2023-02-21,1
T-2008,Health Eng,Rahim Const,LTM,14900000,14066966,7,Chandpur,Building,2023-03-20,0
T-2009,LGED,M/S Salam Ent,LTM,33700000,29292947,6,Noakhali,Bridge,2024-01-09,0
T-2010,LGED,Build Well,Direct,9100000,11056369,6,Noakhali,Building,2023-02-20,1
T-2011,LGED,Orion Tech,OTM,11400000,10695813,5,Cumilla,Road,2024-03-01,0
T-2012,LGED,Rahim Const,LTM,29500000,26492999,6,Manikganj,Bridge,2023-01-08,0
T-2013,City Corp,Orion Tech,Direct,38200000,38165104,5,Feni,Building,2023-04-29,1
T-2014,Edu Eng,Rahim Const,LTM,9000000,8093128,5,Noakhali,Road,2023-09-29,0
T-2015,LGED,Khan Builders,LTM,40000000,34133047,1,Tangail,Building,2023-01-12,0
T-2016,City Corp,Khan Builders,Direct,18400000,20277840,6,Gazipur,ICT Equipment,2023-06-04,1
T-2017,City Corp,Green Delta,OTM,50000000,42949089,2,Feni,Hospital Maintenance,2023-10-02,0
T-2018,LGED,M/S Salam Ent,OTM,13800000,12897629,2,Cox's Bazar,Hospital Maintenance,2023-03-22,0
